Brand,Price,Released Date,OS,Display,Camera,RAM,Battery
ZTE,"৳18,000.00","2021, April 27",Android 11,"6.52"" 1080x2400 pixels",16MP 1080p,4GB RAM MediaTek Helio P22,4000mAh Li-Ion
Vivo,"৳35,000.00","2021, May 06","Android 11, Funtouch 11.1","6.44"" 1080x2400 pixels",64MP 2160p,8GB RAM Dimensity 800U 5G,4000mAh Li-Po
Honor,Coming soon,Not announced yet,Android 11,"6.79"" 1080x2400 Pixels",50MP 2160p,8GB RAM Snapdragon 888,4400mAh Li-Po
Honor,"৳50,000.00","2021, June 25","Android 11, Magic UI 4.2","6.72"" 1080x2340 pixels",108MP 2160p,8GB RAM Snapdragon 778G 5G,4000mAh Li-Po
Honor,"৳36,000.00","2021, June 25","Android 11, Magic UI 4.2","6.57"" 1080x2340 pixels",108MP 2160p,8GB RAM Snapdragon 778G 5G,4300mAh Li-Po
Nokia,Coming soon,Not announced yet,Android 11,"6.5"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Snapdragon 775,4470mAh Li-Po
Honor,"৳13,000.00","2021, May 01","Android 10, Magic UI 4.0","6.52"" 720x1600 pixels",13MP 1080p,4-8GB RAM Unisoc T610,5000mAh Li-Po
Huawei,"৳55,000.00","2021, June 18","Android 10, EMUI 11, no Google Play Services","6.72"" 1236x2676 pixels",64MP 2160p,8GB RAM Kirin 985,4000mAh Li-Po
Huawei,"৳85,000.00","2021, July 09",HarmonyOS 2.0,"6.76"" 1344x2772 pixels",50MP 4320p,8GB RAM Kirin 9000,4400mAh Li-Po
Huawei,"৳230,000.00","2021, July 15",HarmonyOS 2.0,"8.0"" 2200x2480 pixels",50MP 2160p,8GB RAM Kirin 9000,4500mAh Li-Po
Oppo,"৳20,000.00","2021, May 07","Android 11, ColorOS 11.1","6.52"" 720x1600 pixels",13MP 1080p,6/8GB RAM Dimensity 700 5G,5000mAh Li-Po
Symphony,"৳10,490.00 ৳9,990.00","2021, April",Android 11,"6.82"" 720x1640 pixels",13MP 1080p,3GB RAM,6000mAh Li-ion
Vivo,"৳68,000.00","2021, June 28","Android 11, OriginOS 1.0","6.56"" 1080x2376 pixels",50MP 4320p,8/12GB RAM Snapdragon 888 5G,4200mAh Li-Po
Realme,"৳35,500.00 ৳34,500.00","2021, June 04","Android 11, Realme UI 2.0","6.43"" 1080x2400 pixels",64MP 2160p,8/12GB RAM Dimensity 1200 5G,4500mAh Li-Po
Infinix,"৳12,990.00","2021, May 12","Android 11, XOS 7.6","6.82"" 720x1640 pixels",48MP 1080p,4/6GB RAM Helio G85,6000mAh Li-Po
Infinix,"৳11,000.00","2021, May 12","Android 11, XOS 7.6","6.82"" 720x1640 pixels",48MP 1080p,4GB RAM Helio G85,5000mAh Li-Po
Xiaomi,"৳14,999.00","2021, April 21","Android 10, MIUI 12","6.53"" 1080x2340 pixels",13MP 1080p,4GB RAM Helio G80,5000mAh Li-Po
Honor,Coming soon,Not announced yet,"Android 10, Magic UI 4.0","6.6"" 720x1600 pixels",64MP 1080p,6GB RAM Helio P35,4500mAh Li-Po
Xiaomi,"৳38,000.00 ৳36,000.00","2021, April 30","Android 11, MIUI 12.5","6.67"" 1080x2340 pixels",64MP 2160p,6-12GB RAM Dimensity 1200 5G,5065mAh Li-Po
Oppo,"৳28,000.00","2021, May 11","Android 11, ColorOS 11.1","6.43"" 1080x2400 pixels",64MP 2160p,8GB RAM Snapdragon 768G 5G,4300mAh Li-Po
Honor,"৳18,000.00","Exp. release 2021, April 27","Android 10, Magic UI 4.0","6.6"" 1080x2400 pixels",13MP 1080P,6GB RAM Helio P35,5000mAh Li-Po
Tecno,"৳8,000.00","2021, July 26","Android 10, HIOS","6.1"" 720x1560 pixels",5MP,1GB RAM,4000mAh Li-Po
Samsung,"৳20,000.00","2021, April 30","Android 11, One UI Core 3.1","6.5"" 720x1600 pixels",48MP 1080p,3/4GB RAM Exynos 850,5000mAh Li-Po
Samsung,"৳159,999.00 ৳129,999.00","2022, February","Android 12, One UI 4.1","6.8"" 1440x3080 pixels",108MP 4320p,8/12GB RAM Exynos 2200,5000mAh Li-Ion
Samsung,"৳129,999.00 ৳99,999.00","2022, February","Android 12, One UI 4.1","6.6"" 1080x2340 pixels",50MP 4320p,8GB RAM Exynos 2200,4500mAh Li-Ion
Samsung,"৳68,000.00 ৳61,000.00","2022, February 25","Android 12, One UI 4.1","6.1"" 1080x2340 pixels",50MP 4320p,8GB RAM Exynos 2200,3700mAh Li-Ion
Realme,"৳15,000.00","2021, April 22","Android 11, Realme UI 2.0","6.5"" 1080x2400 pixels",48MP 1080p,4/6GB RAM Dimensity 700 5G,5000mAh Li-Po
Vivo,"৳35,000.00","2021, May 01","Android 11, Funtouch 11.1","6.62"" 1080x2400 pixels",48MP 2160p,8/12GB RAM Snapdragon 870 5G,4400mAh Li-Po
Itel,"৳5,000.00","2021, April",Android 8.1,"5.0"" 720 x 1520 pixels",5MP 720P,1GB RAM,2050mAh Li-Ion
Samsung,Coming soon,Not announced yet,Android 11,"6.70"" 1080x2636 pixels",12MP 2160p,8GB RAM Snapdragon 888,4000mAh Li-Po
Motorola,"৳20,999.00","2021, May 01",Android 11,"6.8"" 1080x2460 pixels",64MP 2160p,4/6GB RAM Snapdragon 732G,6000mAh Li-Po
TCL,"৳29,000.00","2021, April 14","Android 11, TCL UI","6.67"" 1080x2400 pixels",64MP 2160p,6GB RAM Snapdragon 662,5000mAh Li-Po
TCL,"৳60,000.00","2021, April 14","Android 11, TCL UI","6.67"" 1080x2400 pixels",48MP 2160p,6GB RAM Snapdragon 750G 5G,4500mAh Li-Po
TCL,"৳22,000.00","2021, May 20","Android 11, TCL UI","6.67"" 1080x2400 pixels",64MP 2160p,6GB RAM Snapdragon 665,5000mAh Li-Po
TCL,"৳24,000.00","2021, April 14","Android 11, TCL UI","6.67"" 1080x2400 pixels",48MP 2160p,4/6GB RAM Snapdragon 662,5000mAh Li-Po
Oppo,Coming soon,"2021, April 26","Android 10, ColorOS 7.2","6.52"" 720x1600 pixels",13MP 1080p,4GB RAM Helio P35,4230mAh Li-Po
Vivo,"৳26,990.00","2021, May 05","Android 11, Funtouch 11.1","6.44"" 1080x2400 pixels",64MP 2160p,8GB RAM Snapdragon 720G,4000mAh Li-Po
Tecno,"৳13,000.00","2021, May 28","Android 11, HIOS 7.5","6.8"" 720x1640 pixels",16MP 1080p,4GB RAM Helio G70,5000mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 11,"6.62"" 1080x2400 pixels",48MP 2160p,8/12GB RAM Snapdragon 888,4000mAh Li-Po
Walton,"৳5,799.00","2021, April",Android 10,"5.99"" 480 x 960 pixels",8MP 1080p,1GB RAM,3000mAh Li-Po
Vivo,"৳20,000.00","2021, April 10","Android 11, Funtouch 11","6.51"" 720x1600 pixels",13MP 1080p,6GB RAM Helio G80,5000mAh Li-Po
Google,"৳43,500.00","2021, August 26",Android 11,"6.34"" 1080 x 2400 pixels",12MP 2160p,6GB RAM Snapdragon 765G 5G,4680mAh Li-Ion
OnePlus,Coming soon,Not announced yet,Android 11,"6.49"" 1080x2400 pixels",64MP 2160p,6GB RAM Snapdragon 690 5G,5000mAh Li-Po
Honor,"৳90,000.00","2021, August 12","Android 11, Magic UI 5, Google Play Services","6.76"" 1344x2772 pixels",108MP 2160p,8GB RAM Snapdragon 888 5G,4600mAh Li-Po
Honor,"৳26,000.00","2021, August 13","Android 11, Magic UI 4.2","6.67"" 1080x2400 Pixels",64MP 2160p,6/8GB RAM Dimensity 900 5G,4300mAh Li-Po
Nokia,"৳9,000.00","2021, June 29",Android 11,"6.52"" 720x1600 pixels",5MP 720p,1/2GB RAM Unisoc SC7331E,3000mAh Li-Ion
ZTE,"৳70,000.00","2021, April 19","Android 11, MyOS 11","6.67"" 1080x2400 pixels",64MP 4320p,8-16GB RAM Snapdragon 888 5G,4600mAh Li-Po
Coolpad,"৳10,000.00","2021, March 29",Android 11,"6.52"" 720x1600 pixels",13MP 1080p,2GB RAM Unisoc SC9863A,4000mAh Li-Po
Gionee,"৳14,000.00","2021, April 14",Android,"6.53"" 720x1600 pixels",16MP 1080p,6/8GB RAM Helio P60,5000mAh Li-Po
Vivo,"৳75,000.00","2021, September 17","Android 11, Funtouch OS 12, OriginOS 1.0","6.78"" 1440x3200 pixels",50MP 4320p,8/12GB RAM Snapdragon 888+ 5G,4500mAh Li-Po
LG,Coming soon,Not announced yet,Android 11,"6.8"" 1080x2460 pixels",64MP 4320p,8GB RAM Snapdragon 888,5000mAh Li-Po
Realme,Coming soon,Not announced ye,Android 11,"6.4"" 1080x2400 Pixels",108MP 2160p,6/8GB RAM Snapdragon 720G,4500mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 11,"6.78"" 1080x2408 pixels",50MP 2160p,6/8GB RAM Snapdragon 780G,4500mAh Li-Po
Walton,"৳8,299.00","2021, April",Android 10,"6.52"" 1080 x 2340 pixels",13MP 1080p,2GB RAM,6000mAh Li-Po
Xiaomi,"৳15,000.00",Not announced yet,"Android 11, MIUI 12","6.5"" 1080x2400 pixels",48MP 2160p,4/6GB RAM Dimensity 700 5G,5000mAh Li-Po
Infinix,"৳11,000.00","2021, May 20","Android 11, XOS 7.5","6.52"" 720x1600 pixels",13MP 1440p,3-6GB RAM Helio G70,6000mAh Li-Po
Google,"৳44,000.00 ৳42,000.00","2021, October 28",Android 12,"6.4"" 1080x2340 pixels",50MP 2160p,8GB RAM Google Tensor,4614mAh Li-Po
Motorola,"৳15,000.00","2021, June 09",Android 11,"6.5"" 720x1600 pixels",48MP 1080p,4GB RAM Unisoc T700,5000mAh Li-Po
Samsung,"৳55,000.00","2021, April 23","Android 11, One UI 3.1","6.7"" 1440x3200 pixels",64MP 2160p,"6GB RAM Snapdragon 855+, QRNG security",4500mAh Li-Po
Vivo,"৳45,000.00","2021, April 03","Android 11, OriginOS 1.0","6.56"" 1080x2376 pixels",48MP 2160p,8GB RAM Dimensity 1100 5G,4300mAh Li-Po
ZTE,"৳24,000.00","2021, April 03","Android 11, MyOS 11","6.67"" 1080x2400 pixels",48MP 1080p,6GB RAM Dimensity 700 5G,6000mAh Li-Po
ZTE,"৳30,000.00","2021, April 03","Android 11, MyOS 11","6.67"" 1080x2400 pixels",64MP 1080p,8GB RAM Snapdragon 720G,4000mAh Li-Ion
Vivo,Coming soon,Not announced yet,Android 11,"6.57"" 1080x2408 pixels",48MP 2160p,6/8GB RAM Snapdragon 780G,5000mAh Li-Po
Vivo,"৳20,000.00","2021, March 30","Android 11, OriginOS 1.0","6.51"" 720x1600 pixels",13MP 1080p,8GB RAM Helio P65,5000mAh Li-Po
Xiaomi,"৳32,000.00 ৳30,000.00","2021, April 16","Android 11, MIUI 12","6.55"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Snapdragon 780G,4250mAh Li-Po
Realme,"৳22,000.00","2021, April 02","Android 11, Realme UI 2.0","6.5"" 1080x2400 pixels",48MP 1080p,8GB RAM Dimensity 700 5G,5000mAh Li-Po
Gionee,"৳14,000.00","2021, March 29",Android 11,"6.82"" 720x1640 pixels",13MP 1080p,3GB RAM Helio G35,6000mAh Li-Po
Realme,"৳24,990.00 ৳22,990.00","2021, April 28","Android 11, Realme UI 2.0","6.5"" 1080x2400 pixels",48MP 1080p,4-8GB RAM Dimensity 700 5G,5000mAh Li-Po
Samsung,"৳12,000.00","2021, April 09",Android 10,"6.5"" 720x1520 pixels",13MP 3240p,3/4GB RAM Snapdragon 450,5000mAh Li-Po
Vivo,"৳25,000.00","Exp. release 2021, April 01","Android 11, OriginOS for iQOO 1.0","6.58"" 1080x2408 pixels",64MP 2160p,6/8GB RAM Snapdragon 768G,4400mAh Li-Po
Samsung,"৳30,000.00","2021, June 01","Android 11, One UI 3.1","6.6"" 1080x2408 pixels",64MP 2160p,8GB RAM Snapdragon 750G 5G,4500mAh Li-Po
Realme,"৳9,990.00 ৳10,490.00","2021, June 28","Android 11, Realme UI","6.52"" 720x1600 pixels",13MP 1080p,2GB RAM,5000mAh Li-Po
Nokia,"৳11,000.00","2021, June 06",Android 11,"6.52"" 720x1600 pixels",5MP 720p,1/2GB RAM Unisoc SC9863A,3000mAh Li-Ion
Vivo,"৳65,000.00","2021, January 08","Android 11, OriginOS","6.56"" 1080x2376 pixels",48MP 2160p,12GB RAM Exynos 1080,4200mAh Li-Po
OnePlus,"৳30,000.00","2022, April 28","Android 11, OxygenOS 11","6.43"" 1080x2400 pixels",64MP 1080p,6GB RAM Snapdragon 695 5G,4500mAh Li-Po
Vivo,"৳18,000.00","2021, March 22","Android 11, Funtouch 10.5","6.58"" 1080x2400 pixels",13MP 2160p,4-8GB RAM Snapdragon 480 5G,5000mAh Li-Po
Motorola,"৳28,999.00 ৳27,999.00","2021, April 27",Android 11,"6.8"" 1080x2460 pixels",108MP 2160p,6GB RAM Snapdragon 732G,6000mAh Li-Po
Micromax,"৳15,000.00","2021, March 26",Android 10,"6.67"" 1080x2400 pixels",48MP 1080p,4/6GB RAM Helio G80,5000mAh Li-Po
Asus,Coming soon,Not announced yet,Android 11,"6.67"" 1080x2400 pixels",64MP 3240p,6/8GB RAM Snapdragon 865,4500mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 11,"6.57"" 1080x2408 pixels",48MP 2160p,8GB RAM Dimensity 1000+,5000mAh Li-Po
Xiaomi,"৳140,000.00","2021, April 16","Android 10, MIUI 12","8.01"" 1860x2480 pixels",108MP 4320p,12/16GB RAM Snapdragon 888,5020mAh Li-Po
Nokia,"৳14,990.00","2021, May 17",Android 11,"6.52"" 720x1600 pixels",48MP 1080p,4GB RAM Helio G35,5050mAh Li-Po
Nokia,"৳38,000.00","2021, May 12",Android 11,"6.67"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Snapdragon 480 5G,4470mAh Li-Po
Nokia,"৳32,000.00","2021, June 07",Android 11,"6.67"" 1080x2400 pixels",48MP 1080p,4/6GB RAM Snapdragon 480 5G,4470mAh Li-Po
Symphony,"৳8,590.00","2021, March 15",Android 10.0,"6.52"" 720x1600 pixels",13MP 1080p,3GB RAM,5000mAh Li-ion
HTC,"৳15,000.00","2021, April 11",Android 10,"6.52"" 720x1560 pixels",13MP 1080p,4GB RAM Helio P22,4000mAh Li-Po
Asus,Coming soon,Not announced yet,Android 11,"6.67"" 1080x2400 pixels",64MP 3240p,8GB RAM Snapdragon 888,5000mAh Li-Po
Asus,"৳65,000.00","2021, May 13","Android 11, ZenUI 8","5.9"" 1080x2400 pixels",64MP 3240p,6-16GB RAM Snapdragon 888 5G,4000mAh Li-Po
Oppo,Coming soon,Not announced yet,Android 11,"6.4"" 1080x2400 pixels",48MP 2160p,6/8GB RAM Helio P95,4310mAh Li-Po
Lenovo,"৳85,000.00","2021, May 10","Android 11, ZUI 12.5","6.92"" 1080x2460 pixels",64MP 2160p,12/16GB RAM Snapdragon 888 5G,5500mAh Li-Po
Honor,Coming soon,Not announced yet,Android 11,"6.57"" 1080x2400 pixels",40MP 2160p,8GB RAM HiSilicon Kirin 990,4000mAh Li-Po
Honor,Coming soon,Not announced yet,Android 11,"6.57"" 1080x2400 pixels",40MP 2160p,8GB RAM HiSilicon Kirin 990,4500mAh Li-Po
Honor,Coming soon,Not announced yet,Android 11,"6.72"" 1236x2676 pixels",50MP 2160p,8GB RAM Dimensity 1000+,4000mAh Li-Po
Samsung,"৳22,499.00","2021, July 01","Android 11, One UI Core 3.1","6.4"" 720x1600 pixels",48MP 1080p,4/6GB RAM Helio G80,5000mAh Li-Po
ZTE,"৳40,000.00","2021, April 03","Android 11, MyOS 11","6.67"" 1080x2400 pixels",64MP 1080p,8GB RAM Snapdragon 768G,4200mAh Li-Ion
Xiaomi,Coming soon,Not announced yet,Android 11,"6.39"" 1080x2340 pixels",48MP 2160p,8GB RAM Snapdragon 888,5000mAh Li-Po
Honor,Coming soon,Not announced yet,Android 10,"6.63"" 1080x2400 pixels",40MP 1080p,4GB HiSilicon Kirin 820 5G,4200mAh Li-Po
Honor,"৳40,000.00","2021, March 28","Android 10, Magic UI 4.0","6.57"" 1080x2400 pixels",64MP 2160p,8GB RAM Dimensity 800U 5G,3800mAh Li-Po
Asus,"৳135,000.00","2021, June 07","Android 11, ROG UI","6.78"" 1080x2448 pixels",64MP 4320p,18GB RAM Snapdragon 888,6000mAh Li-Po
Asus,"৳125,000.00","2021, July 02","Android 11, ROG UI","6.78"" 1080x2448 pixels",64MP 4320p,16GB RAM Snapdragon 888,6000mAh Li-Po
Walton,"৳8,699.00 ৳8,270.00","2021, March 12",Android 10,"6.82"" 1080 x 2340 pixels",16MP 1080p,3GB RAM,4000mAh Li-Po
Ulefone,"৳32,000.00","2021, February 18","Android 10, planned upgrade to Android 11","6.1"" 720x1560 pixels",48MP 2160p,8GB RAM Dimensity 800 5G,5200mAh Li-Po
BLU,"৳16,000.00","2021, February 24",Android 10,"6.5"" 720x1600 pixels",16MP 1080p,4GB RAM,5000mAh Li-Po
Sony,Coming soon,Not announced yet,Android 11,"6.0"" 1080x2520 pixels",12MP 2160p,4GB RAM Snapdragon 690 5G,4000mAh Li-Po
Oppo,"৳30,000.00","2021, April 13","Android 11, ColorOS 11.1","6.5"" 1080x2400 pixels",48MP 2160p,6GB RAM Snapdragon 480 5G,5000mAh Li-Po
Oppo,"৳19,999.00 ৳17,990.00","2021, April 01","Android 10, ColorOS 7.2","6.51"" 720x1600 pixels",13MP 1080p,4GB RAM Helio P35,5000mAh Li-Po
Huawei,"৳60,000.00","2021, March 18","Android 10, EMUI 11, no Google Play Services","6.5"" 1080x2376 pixels",64MP 2160p,8GB RAM Kirin 990E 5G,4200mAh Li-Po
Nokia,"৳13,499.00","2021, April 26",Android 11,"6.52"" 720x1600 pixels",13MP 1080p,4GB RAM Helio G25,5050mAh Li-Po
Realme,"৳13,990.00","2021, March 27","Android 11, Realme UI 2.0","6.5"" 720x1600 pixels",48MP 1080p,4GB RAM Helio G70,6000mAh Li-Po
Xiaomi,"৳45,000.00","2021, March 12","Android 11, MIUI 12","6.67"" 1080x2340 pixels",108MP 4320p,8/12GB RAM Snapdragon 870 5G,4780mAh Li-Po
Symphony,"৳10,490.00 ৳9,990.00","2021, March",Android 10.0,"6.52"" 720x1600 pixels",13MP 1080p,4GB RAM,5000mAh Li-Po
Motorola,"৳15,599.00","2021, March 16",Android 11,"6.5"" 720x1600 pixels",48MP 1080p,4GB RAM Snapdragon 460,6000mAh Li-Po
Xiaomi,"৳30,500.00 ৳30,000.00","2021, May 31","Android 11, MIUI 12","6.67"" 1080x2400 pixels",108MP 3240p,8GB RAM Snapdragon 888,4520mAh Li-Po
Xiaomi,"৳44,000.00 ৳36,500.00","2021, May 05","Android 11, MIUI 12","6.67"" 1080x2400 pixels",108MP 3240p,8GB RAM Snapdragon 888 5G,4520mAh Li-Po
Xiaomi,"৳39,999.00","2021, April 27","Android 11, MIUI 12","6.67"" 1080x2400 pixels",48MP 2160p,6/8GB RAM Snapdragon 870 5G,4520mAh Li-Po
Realme,"৳28,000.00","2021, April 08","Android 11, Realme UI 2.0","6.43"" 1080x2400 pixels",64MP 2160p,6-12GB RAM Dimensity 1200 5G,4500mAh Li-Po
Xiaomi,"৳18,500.00","2021, April 28","Android 11, MIUI 12","6.5"" 1080x2400 pixels",48MP 2160p,4-8GB RAM Dimensity 700 5G,5000mAh Li-Po
Xiaomi,"৳22,999.00","2021, April 28","Android 11, MIUI 12","6.43"" 1080x2400 pixels",64MP 2160p,4-8GB RAM Helio G95,5000mAh Li-Po
Xiaomi,"৳25,999.00","2021, March 17","Android 11, MIUI 12","6.67"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Snapdragon 732G,5020mAh Li-Po
Oppo,"৳40,000.00","2021, April 04","Android 11, ColorOS 11.1","6.43"" 1080x2400 pixels",48MP 2160p,8GB RAM Dimensity 800U 5G,4310mAh Li-Po
Realme,"৳10,990.00","2021, March 05","Android 10, realme UI 1.0","6.52"" 720x1600 pixels",13MP 1080p,3/4GB RAM Helio G35,5000mAh Li-Po
Motorola,"৳55,000.00","2021, April 15",Android 11,"6.7"" 1080x2520 pixels",64MP 3240p,8/12GB RAM Snapdragon 870 5G,5000mAh Li-Po
Motorola,"৳25,000.00","2021, April 26",Android 11,"6.5"" 720x1600 pixels",48MP 1080p,4GB RAM Snapdragon 480 5G,5000mAh Li-Po
Oppo,"৳35,000.00","2021, March 17","Android 11, ColorOS 11.1","6.43"" 1080x2400 pixels",48MP 2160p,8GB RAM Dimensity 800U 5G,4310mAh Li-Po
Carbon Mobile,"৳85,000.00","2021, March 30",Android 10,"6.01"" 1080x2160 pixels",16MP 2160p,8GB RAM Helio P95,3000mAh Li-Ion
Gionee,"৳9,000.00","2021, March 08",Android 10,"6.52"" 720x1560 pixels",13MP 1080p,3GB RAM Unisoc SC9863A,6000mAh Li-Po
Samsung,Coming soon,Not announced yet,Android 11,"6.5"" 720x1560 pixels",16MP 1080p,3/4GB RAM Snapdragon 450,5000mAh Li-Ion
Xiaomi,Coming soon,Not announced yet,Android 11,"6.67"" 1080x2400 pixels",64MP 2160p,8GB RAM Snapdragon 732G,6000mAh Li-Po
Xiaomi,"৳30,000.00 ৳29,500.00","2021, March 27","Android 11, MIUI 12 for POCO","6.67"" 1080x2400 pixels",48MP 2160p,6/8GB RAM Snapdragon 870 5G,4520mAh Li-Po
Doogee,"৳18,000.00","2020, June 06",Android 10,"6.3"" 1080x2340 pixels",2.1MP 1080p,6GB RAM Helio P70,10000mAh Li-Po
Symphony,"৳7,990.00","2020, February",Android 10.0,"6.52"" 720x1600 pixels",13MP 1080p,2GB RAM,5000mAh Li-ion
Huawei,"৳55,000.00","2021, February 26","Android 10, EMUI, no Google Play Services","6.1"" 1080x2340 pixels",50MP 2160p,8GB RAM Kirin 990,3800mAh Li-Po
ZTE,"৳75,000.00 ৳72,000.00","2021, March 11","Android 11, Redmagic 4.0","6.8"" 1080x2400 pixels",64MP 4320p,12-18GB RAM Snapdragon 888,4500mAh Li-Po
Samsung,"৳26,999.00","2021, February 25","Android 11, One UI 3.1","6.4"" 1080x2400 pixels",64MP 2160p,4-8GB RAM Helio G80,5000mAh Li-Po
OnePlus,"৳38,000.00 ৳37,000.00","2021, April 14","Android 11, OxygenOS 11","6.55"" 1080x2400 pixels",48MP 2160p,8/12GB RAM Snapdragon 870 5G,4500mAh Li-Po
Oppo,"৳28,000.00","2021, April 14","Android 11, ColorOS 11.1","6.5"" 1080x2400 pixels",48MP 2160p,4GB RAM Snapdragon 480 5G,5000mAh Li-Po
Lenovo,"৳60,000.00","2021, April 26","Android 11, Legion OS","6.92"" 1080x2460 pixels",64MP 2160p,12-18GB RAM Snapdragon 888 5G,5500mAh Li-Po
Oppo,"৳40,000.00","2021, March 05","Android 11, ColorOS 11.1","6.43"" 1080x2400 pixels",64MP 2160p,8/12GB RAM Snapdragon 750G 5G,4300mAh Li-Po
BLU,"৳9,000.00","2021, February 19",Android 10,"6.5"" 720x1600 pixels",13MP 1080p,3GB RAM,5000mAh Li-Po
Oppo,"৳26,000.00","2021, March 17","Android 11, ColorOS 11","6.43"" 1080x2400 pixels",48MP 2160p,8GB RAM Helio P95,4310mAh Li-Po
Xiaomi,"৳28,999.00","2021, March 18","Android 11, MIUI 12","6.67"" 1080x2400 pixels",108MP 2160p,6/8GB RAM Snapdragon 732G,5020mAh Li-Po
Vivo,"৳32,000.00","2021, March 27","Android 11, OriginOS 1.0","6.44"" 1080x2400 pixels",64MP 2160p,8GB RAM Dimensity 820 5G,-
Infinix,"৳25,000.00","2021, June 07","Android 11, XOS 7.6","6.95"" 1080x2460 pixels",64MP 2160p,6/8GB RAM Helio G95,5000mAh Li-Po
BLU,"৳7,000.00","2021, February 16",Android 10,"6.0"" 480x960 pixels",8MP 720p,1GB RAM,3000mAh Li-Ion
Walton,"৳15,599.00","2021, February",Android 10,"6.55"" 1080 x 2340 pixels",16MP 1080p,4GB RAM Helio P22,4000mAh Li-Po
Realme,"৳32,500.00","2021, March 10","Android 11, Realme UI 2","6.43"" 1080x2400 pixels",64MP 2160p,8/12GB RAM Snapdragon 888,4500mAh Li-Po
ZTE,"৳7,000.00","2021, July 13",Android 11,"5.45"" 720x1440 pixels",8MP 720p,2GB RAM Unisoc SC9863A,3000mAh Li-Ion
Vivo,"৳35,000.00","2021, March 22","Android 11, OriginOS for iQOO","6.62"" 1080x2400 pixels",48MP 2160p,8/12GB RAM Snapdragon 870 5G,4400mAh Li-Po
Samsung,"৳89,999.00 ৳79,999.00","2022, January 11","Android 12, One UI 4","6.4"" 1080x2400 pixels",12MP 2160p,6/8GB RAM Snapdragon 888 5G,4500mAh Li-Ion
LG,"৳18,000.00","2021, March 03",Android 10,"6.55"" 720x1600 pixels",48MP 1080p,4GB RAM Helio G35,5000mAh Li-Po
LG,"৳20,000.00","2021, March 03",Android 10,"6.55"" 720x1600 pixels",48MP 1080p,6GB RAM Helio G35,5000mAh Li-Po
LG,"৳17,000.00","2021, March 03",Android 10,"6.55"" 900x1600 pixels",48MP 1080p,4GB RAM Helio G35,5000mAh Li-Po
Motorola,"৳13,999.00","2021, February 26",Android 10,"6.51"" 720x1600 pixels",13MP 1080p,2/4GB RAM Helio G25,5000mAh Li-Po
Xiaomi,Coming soon,Not announced yet,Android 11,"6.67"" 1080x2340 pixels",108MP 4320p,8/12GB RAM Snapdragon 865,5000mAh Li-Po
Infinix,"৳10,000.00","2021, February 18","Android 10, XOS 7","6.82"" 720x1640 pixels",13MP 1080p,2GB RAM Helio G25,6000mAh Li-Po
BLU,"৳8,000.00","2021, February 09",Android 10,"5.5"" 480x960 pixels",8MP 720p,1GB RAM,2550mAh Li-Ion
BLU,"৳7,000.00","2021, February 09",Android 10,"7.0"" 600x1240 pixels",5MP 720p,2GB RAM,2800mAh Li-Po
BLU,"৳6,000.00","2021, February 09",Android 10,"4.0"" 480x800 pixels",5MP 720p,3GB RAM,1400mAh Li-Po
BLU,"৳12,000.00","2021, February 09",Android 10,"6.5"" 720x1600 pixels",13MP 1080p,3GB RAM,5000mAh Li-Po
Energizer,"৳32,000.00","2021, February 09",Android 10,"6.2"" 720x1440 pixels",48MP 1080p,4GB RAM Helio P22,5000mAh Li-Ion
Wiko,"৳10,000.00","2020, August 18",Android 10,"6.2"" 720x1520 pixels",13MP 1080p,2GB RAM Helio A20,4000mAh Li-Ion
Lenovo,"৳10,000.00","2021, August 30",Android 10,"6.52"" 720x1600 pixels",13MP 1080p,2GB RAM Unisoc SC9863A,5000mAh Li-Ion
Motorola,Coming soon,Not announced yet,Android 10,"6.5"" 720x1560 pixels",48MP 1080p,2GB RAM Helio G25,4000mAh Li-Po
Motorola,"৳20,000.00","2021, February 11",Android 10,"6.1"" 720x1560 pixels",13MP 1080p,2GB RAM Unisoc SC9863A,3000mAh Li-Ion
Motorola,Coming soon,Not announced yet,Android 11,"6.5"" 720x1600 pixels",64MP 2160p,6GB RAM Snapdragon 480,5000mAh Li-Po
Motorola,Coming soon,Not announced yet,Android 11,"6.7"" 1080x2340 pixels",64MP 2160p,6GB RAM Snapdragon 662,5000mAh Li-Po
Motorola,Coming soon,Not announced yet,Android 11,"6.7"" 1080x2340 pixels",64MP 2160p,6GB RAM Snapdragon 480,5000mAh Li-Po
Realme,"৳18,000.00","2021, February 05","Android 11, realme UI","6.5"" 720x1600 pixels",13MP 2160p,4/6GB RAM Dimensity 700 5G,5000mAh Li-Po
Oppo,"৳26,990.00 ৳24,990.00","2021, March 10","Android 11, ColorOS 11.1","6.43"" 1080x2400 pixels",48MP 2160p,8GB RAM Helio P95,4310mAh Li-Po
Oppo,"৳21,990.00","2021, April 08","Android 11, ColorOS 11.1","6.43"" 1080x2400 pixels",48MP 2160p,6GB RAM Snapdragon 662,5000mAh Li-Po
